CAD.CDW.ID,CAD.Event.Number,General.Offense.Number,Event.Clearance.Code,Event.Clearance.Description,Event.Clearance.SubGroup,Event.Clearance.Group,MM,DD,YYYY,TIME,Hundred.Block.Location,District.Sector,Zone.Beat,Census.Tract,Longitude,Latitude,Incident.Location,Initial.Type.Description,Initial.Type.Subgroup,Initial.Type.Group,At.Scene.Time
547071,11000125057,2011125057,062,BICYCLE THEFT,THEFT,BIKE,04,19,2011,08:19:00,90XX BLOCK OF SEWARD PARK AVE S,S,S3,11800.6013,-122.264496398,47.522408654,(47.522408654, -122.264496398),,,,
1675779,16000058712,201658712,062,BICYCLE THEFT,THEFT,BIKE,02,18,2016,11:39:37,21XX BLOCK OF 20 AV S,R,R1,9400.3014,-122.30686,47.584095,(47.584095, -122.30686),TRU - THEFT,OTHER PROPERTY,THEFT,
547853,11000121214,2011121214,062,BICYCLE THEFT,THEFT,BIKE,04,16,2011,07:25:00,SUMMIT AV / E PIKE ST,E,E2,8400.1021,-122.325517891,47.614086173,(47.614086173, -122.325517891),,,,
549379,11000130206,2011130206,062,BICYCLE THEFT,THEFT,BIKE,04,24,2011,05:08:00,75XX BLOCK OF 30TH AVE SW,F,F1,10700.2010,-122.371189567,47.534633478,(47.534633478, -122.371189567),,,,
551046,11000132447,2011132447,062,BICYCLE THEFT,THEFT,BIKE,04,26,2011,11:55:00,7 AV / MADISON ST,D,D3,8500.1006,-122.329585763,47.607479359,(47.607479359, -122.329585763),,,,
550225,11000132986,2011132986,062,BICYCLE THEFT,THEFT,BIKE,04,26,2011,09:05:00,23XX BLOCK OF NE 85TH ST,U,U1,2100.3017,-122.27027204,47.690435942,(47.690435942, -122.27027204),,,,
550665,11000129592,2011129592,062,BICYCLE THEFT,THEFT,BIKE,04,23,2011,05:32:00,26XX BLOCK OF 29TH AVE W,Q,Q1,5700.3009,-122.394206943,47.643903479,(47.643903479, -122.394206943),,,,
551356,11000128107,2011128107,062,BICYCLE THEFT,THEFT,BIKE,04,22,2011,01:04:00,22XX BLOCK OF FAIRVIEW AVE E,D,D2,6600.2004,-122.328776518,47.643236474,(47.643236474, -122.328776518),,,,
551970,11000130760,2011130760,062,BICYCLE THEFT,THEFT,BIKE,04,24,2011,06:37:00,8XX BLOCK OF ALASKAN WAY,M,M3,8100.1027,-122.357193891,47.617235641,(47.617235641, -122.357193891),,,,
553073,11000130343,2011130343,062,BICYCLE THEFT,THEFT,BIKE,04,24,2011,08:39:00,22 AV NW / BALLARD AV NW,J,J2,4700.5013,-122.384746485,47.667644159,(47.667644159, -122.384746485),,,,
553262,11000132923,2011132923,062,BICYCLE THEFT,THEFT,BIKE,04,26,2011,07:07:00,61XX BLOCK OF NE RADFORD DR,L,L3,4100.1006,-122.259922997,47.674124371,(47.674124371, -122.259922997),,,,
554542,11000136128,2011136128,062,BICYCLE THEFT,THEFT,BIKE,04,29,2011,03:21:00,63XX BLOCK OF 5TH AVE NE,J,J1,3600.3000,-122.323399054,47.675117895,(47.675117895, -122.323399054),,,,
555044,11000138393,2011138393,062,BICYCLE THEFT,THEFT,BIKE,05,01,2011,06:44:00,100XX BLOCK OF COLLEGE WAY N,N,N3,1300.1009,-122.33452433,47.702331628,(47.702331628, -122.33452433),,,,
556275,11000138652,2011138652,062,BICYCLE THEFT,THEFT,BIKE,05,01,2011,08:46:00,31XX BLOCK OF W LAURELHURST DR NE,L,L3,4100.8012,-122.27824499,47.650847326,(47.650847326, -122.27824499),,,,
556565,11000139551,2011139551,062,BICYCLE THEFT,THEFT,BIKE,05,02,2011,02:10:00,13XX BLOCK OF 5TH AVE,K,K1,8200.1014,-122.33421121,47.60918901,(47.60918901, -122.33421121),,,,
556717,11000140842,2011140842,062,BICYCLE THEFT,THEFT,BIKE,05,03,2011,03:49:00,40XX BLOCK OF 1ST AVE NE,J,J3,5200.3007,-122.327862453,47.656628147,(47.656628147, -122.327862453),,,,
556872,11000145439,2011145439,062,BICYCLE THEFT,THEFT,BIKE,05,07,2011,06:19:00,N 39 ST / EASTERN AV N,J,J3,5100.3007,-122.329070041,47.654283958,(47.654283958, -122.329070041),,,,
558435,11000143166,2011143166,062,BICYCLE THEFT,THEFT,BIKE,05,05,2011,11:43:00,123XX BLOCK OF 36TH AVE NE,L,L2,800.1003,-122.289322196,47.718286337,(47.718286337, -122.289322196),,,,
558862,11000146387,2011146387,062,BICYCLE THEFT,THEFT,BIKE,05,08,2011,03:39:00,8 AV / OLIVE WY,D,D2,8200.1001,-122.334061145,47.614056086,(47.614056086, -122.334061145),,,,
1676565,16000060062,201660062,062,BICYCLE THEFT,THEFT,BIKE,02,19,2016,01:24:39,28XX BLOCK OF BOYER AV E,C,C1,6100.1019,-122.31707,47.646267,(47.646267, -122.31707),TRU - THEFT,OTHER PROPERTY,THEFT,
560237,11000142023,2011142023,062,BICYCLE THEFT,THEFT,BIKE,05,04,2011,03:16:00,57XX BLOCK OF ROOSEVELT WAY NE,U,U3,4400.5006,-122.317363508,47.670403978,(47.670403978, -122.317363508),,,,
560839,11000145241,2011145241,062,BICYCLE THEFT,THEFT,BIKE,05,07,2011,12:29:00,RAINIER AV S / S MC CLELLAN ST,O,O1,9500.5004,-122.298153667,47.578348928,(47.578348928, -122.298153667),,,,
562101,11000148199,2011148199,062,BICYCLE THEFT,THEFT,BIKE,05,09,2011,10:36:00,NW 36 ST / 3 AV NW,J,J2,4800.3036,-122.360832352,47.653673163,(47.653673163, -122.360832352),,,,
562215,11000151744,2011151744,062,BICYCLE THEFT,THEFT,BIKE,05,13,2011,04:34:00,90XX BLOCK OF VALDEZ AVE S,S,S2,11700.1015,-122.278194289,47.5225019,(47.5225019, -122.278194289),,,,
562371,11000152249,2011152249,062,BICYCLE THEFT,THEFT,BIKE,05,13,2011,09:37:00,16XX BLOCK OF E MADISON ST,G,G1,7900.4001,-122.311312918,47.615105654,(47.615105654, -122.311312918),,,,
563055,11000149467,2011149467,062,BICYCLE THEFT,THEFT,BIKE,05,11,2011,01:22:00,1XX BLOCK OF 22ND AVE,G,G1,8700.2012,-122.30373643,47.603089538,(47.603089538, -122.30373643),,,,
566946,11000151603,2011151603,062,BICYCLE THEFT,THEFT,BIKE,05,12,2011,06:25:00,107XX BLOCK OF MERIDIAN AVE N,N,N3,600.4009,-122.334143909,47.717738675,(47.717738675, -122.334143909),,,,
567400,11000149540,2011149540,062,BICYCLE THEFT,THEFT,BIKE,05,10,2011,11:55:00,14XX BLOCK OF 3RD AVE,K,K1,8100.2010,-122.337338756,47.60925298,(47.60925298, -122.337338756),,,,
568505,11000153441,2011153441,062,BICYCLE THEFT,THEFT,BIKE,05,14,2011,09:42:00,33XX BLOCK OF NE 60TH ST,L,L3,4200.6007,-122.292417374,47.672148267,(47.672148267, -122.292417374),,,,
572155,11000156805,2011156805,062,BICYCLE THEFT,THEFT,BIKE,05,17,2011,01:35:00,63XX BLOCK OF NE RADFORD DR,L,L3,4100.1005,-122.261217207,47.673575346,(47.673575346, -122.261217207),,,,
573207,11000170352,2011170352,062,BICYCLE THEFT,THEFT,BIKE,05,28,2011,05:26:00,2 AV / PIKE ST,K,K1,8100.2010,-122.338906798,47.60928404,(47.60928404, -122.338906798),,,,
576760,11000169083,2011169083,062,BICYCLE THEFT,THEFT,BIKE,05,27,2011,04:04:00,7XX BLOCK OF BELMONT AVE E,C,C1,6500.4007,-122.324164843,47.625263633,(47.625263633, -122.324164843),,,,
576773,11000170285,2011170285,062,BICYCLE THEFT,THEFT,BIKE,05,28,2011,08:06:00,47XX BLOCK OF PHINNEY AVE N,J,J2,4900.6010,-122.353971575,47.663236607,(47.663236607, -122.353971575),,,,
577902,11000167230,2011167230,062,BICYCLE THEFT,THEFT,BIKE,05,26,2011,02:08:00,9XX BLOCK OF NE 43RD ST,U,U2,5200.2000,-122.318269293,47.659457069,(47.659457069, -122.318269293),,,,
577921,11000170256,2011170256,062,BICYCLE THEFT,THEFT,BIKE,05,28,2011,03:57:00,9XX BLOCK OF N 45TH ST,J,J3,5000.3010,-122.346381612,47.661389808,(47.661389808, -122.346381612),,,,
1677391,16000061453,201661453,062,BICYCLE THEFT,THEFT,BIKE,02,20,2016,03:16:28,52XX BLOCK OF 11 AV NW,B,B2,4700.2009,-122.370766,47.66679,(47.66679, -122.370766),THEFT (DOES NOT INCLUDE SHOPLIFT OR SVCS),OTHER PROPERTY,THEFT,02/20/2016 02:23:09 PM
1680355,16000066713,201666713,062,BICYCLE THEFT,THEFT,BIKE,02,24,2016,07:22:45,113XX BLOCK OF 3 AV NE,L,L2,1200.4,-122.32602,47.710926,(47.710926, -122.32602),THEFT (DOES NOT INCLUDE SHOPLIFT OR SVCS),OTHER PROPERTY,THEFT,02/24/2016 06:09:04 PM
1854739,16000371649,2016371649,062,BICYCLE THEFT,THEFT,BIKE,10,13,2016,08:34:16,10XX BLOCK OF E MARION ST,E,E2,8600.2003,-122.31871,47.610737,(47.610737, -122.31871),TRU - THEFT,OTHER PROPERTY,THEFT,10/13/2016 06:33:32 PM
588460,11000163752,2011163752,062,BICYCLE THEFT,THEFT,BIKE,05,23,2011,09:53:00,12XX BLOCK OF FEDERAL AVE E,C,C1,6500.1024,-122.319153222,47.631387655,(47.631387655, -122.319153222),,,,
597153,11000163850,2011163850,062,BICYCLE THEFT,THEFT,BIKE,05,23,2011,01:39:00,87XX BLOCK OF GREENWOOD AVE N,N,N2,1700.2011,-122.354726583,47.744118909,(47.744118909, -122.354726583),,,,
598202,11000164222,2011164222,062,BICYCLE THEFT,THEFT,BIKE,05,23,2011,04:26:00,66XX BLOCK OF NE WINDERMERE RD,L,L3,4100.3000,-122.25550759,47.672744407,(47.672744407, -122.25550759),,,,
601764,11000173265,2011173265,062,BICYCLE THEFT,THEFT,BIKE,05,31,2011,09:53:00,NW 57 ST / 24 AV NW,B,B2,4700.5006,-122.38759096,47.670185646,(47.670185646, -122.38759096),,,,
601937,11000183457,2011183457,062,BICYCLE THEFT,THEFT,BIKE,06,08,2011,05:58:00,7 AV / PIKE ST,D,D3,8200.1005,-122.333353852,47.611605828,(47.611605828, -122.333353852),,,,
601993,11000161912,2011161912,062,BICYCLE THEFT,THEFT,BIKE,05,21,2011,04:11:00,19XX BLOCK OF N 46TH ST,J,J3,5100.5008,-122.334455603,47.662127061,(47.662127061, -122.334455603),,,,
602336,11000163851,2011163851,062,BICYCLE THEFT,THEFT,BIKE,05,23,2011,10:32:00,12XX BLOCK OF FEDERAL AVE E,C,C1,6500.1024,-122.319153222,47.631387655,(47.631387655, -122.319153222),,,,
602352,11000163942,2011163942,062,BICYCLE THEFT,THEFT,BIKE,05,23,2011,01:21:00,2XX BLOCK OF E EDGAR ST,C,C1,6100.5010,-122.325253595,47.644492671,(47.644492671, -122.325253595),,,,
602457,11000164568,2011164568,062,BICYCLE THEFT,THEFT,BIKE,05,23,2011,10:18:00,28XX BLOCK OF NW MARKET ST,B,B2,3200.3008,-122.393683654,47.668651397,(47.668651397, -122.393683654),,,,
602612,11000173171,2011173171,062,BICYCLE THEFT,THEFT,BIKE,05,31,2011,10:50:00,19XX BLOCK OF 1ST AVE,M,M3,8002.1007,-122.355293423,47.618534826,(47.618534826, -122.355293423),,,,
603456,11000176356,2011176356,062,BICYCLE THEFT,THEFT,BIKE,06,03,2011,01:45:00,53 AV S / S HENDERSON ST,S,S3,11800.6013,-122.266335492,47.523295304,(47.523295304, -122.266335492),,,,
603592,11000175251,2011175251,062,BICYCLE THEFT,THEFT,BIKE,06,02,2011,01:33:00,NW MARKET ST / TALLMAN AV NW,J,J2,4700.4002,-122.381732686,47.668675042,(47.668675042, -122.381732686),,,,
607198,11000177084,2011177084,062,BICYCLE THEFT,THEFT,BIKE,06,03,2011,04:13:00,6XX BLOCK OF 3RD AVE,K,K2,8100.2033,-122.331735384,47.603126534,(47.603126534, -122.331735384),,,,
607395,11000173707,2011173707,062,BICYCLE THEFT,THEFT,BIKE,05,31,2011,07:17:00,7XX BLOCK OF E ROY ST,C,C1,6500.4012,-122.323304636,47.625117954,(47.625117954, -122.323304636),,,,
607916,11000177587,2011177587,062,BICYCLE THEFT,THEFT,BIKE,06,04,2011,12:11:00,48XX BLOCK OF FAUNTLEROY WAY SW,W,W2,10500.6009,-122.389766182,47.54427376,(47.54427376, -122.389766182),,,,
612061,11000173501,2011173501,062,BICYCLE THEFT,THEFT,BIKE,05,31,2011,01:38:00,E ALDER ST / 15 AV,G,G1,8600.1020,-122.312868686,47.604341761,(47.604341761, -122.312868686),,,,
612192,11000178437,2011178437,062,BICYCLE THEFT,THEFT,BIKE,06,04,2011,02:12:00,15XX BLOCK OF 10TH AVE E,C,C1,6600.1005,-122.32000901,47.632661555,(47.632661555, -122.32000901),,,,
612234,11000173818,2011173818,062,BICYCLE THEFT,THEFT,BIKE,05,31,2011,08:38:00,28XX BLOCK OF WESTERN AVE,M,M1,8001.3013,-122.352887459,47.615971089,(47.615971089, -122.352887459),,,,
612400,11000176908,2011176908,062,BICYCLE THEFT,THEFT,BIKE,06,03,2011,01:10:00,2XX BLOCK OF YESLER WAY,K,K2,9200.2002,-122.331124149,47.601717571,(47.601717571, -122.331124149),,,,
1678537,16000063341,201663341,062,BICYCLE THEFT,THEFT,BIKE,02,22,2016,09:27:55,30XX BLOCK OF 60 AV SW,W,W1,9701.1012,-122.40941,47.576805,(47.576805, -122.40941),TRU - THEFT,OTHER PROPERTY,THEFT,
616771,11000176853,2011176853,062,BICYCLE THEFT,THEFT,BIKE,06,03,2011,10:33:00,25XX BLOCK OF E DENNY WAY,C,C3,7700.4002,-122.299221065,47.618915057,(47.618915057, -122.299221065),,,,
1678553,16000063352,201663352,062,BICYCLE THEFT,THEFT,BIKE,02,22,2016,09:53:28,41XX BLOCK OF LINDEN AV N,B,B2,4900.2001,-122.34854,47.657204,(47.657204, -122.34854),TRU - THEFT,OTHER PROPERTY,THEFT,
617621,11000179103,2011179103,062,BICYCLE THEFT,THEFT,BIKE,06,05,2011,12:48:00,25XX BLOCK OF 1ST AVE,M,M1,8001.2004,-122.355293423,47.618534826,(47.618534826, -122.355293423),,,,
618009,11000177121,2011177121,062,BICYCLE THEFT,THEFT,BIKE,06,03,2011,02:35:00,17XX BLOCK OF BROADWAY,E,E1,8400.1000,-122.320826477,47.616987304,(47.616987304, -122.320826477),,,,
618086,11000177102,2011177102,062,BICYCLE THEFT,THEFT,BIKE,06,03,2011,04:16:00,17XX BLOCK OF BROADWAY,E,E1,8400.1000,-122.320826477,47.616987304,(47.616987304, -122.320826477),,,,
618258,11000177540,2011177540,062,BICYCLE THEFT,THEFT,BIKE,06,03,2011,09:14:00,27XX BLOCK OF UTAH AVE S,K,K3,9300.2049,-122.335125907,47.578769662,(47.578769662, -122.335125907),,,,
621944,11000184904,2011184904,062,BICYCLE THEFT,THEFT,BIKE,06,09,2011,08:36:00,20XX BLOCK OF WESTERN AVE,M,M3,8100.1013,-122.344123277,47.610790348,(47.610790348, -122.344123277),,,,
622203,11000185433,2011185433,062,BICYCLE THEFT,THEFT,BIKE,06,10,2011,08:32:00,17XX BLOCK OF BELMONT AVE,E,E1,7400.4004,-122.324495885,47.617046946,(47.617046946, -122.324495885),,,,
622251,11000166515,2011166515,062,BICYCLE THEFT,THEFT,BIKE,05,25,2011,01:55:00,3XX BLOCK OF W REPUBLICAN ST,Q,Q3,7100.1001,-122.361291155,47.623293171,(47.623293171, -122.361291155),,,,
1678704,16000063443,201663443,062,BICYCLE THEFT,THEFT,BIKE,02,22,2016,01:41:41,8XX BLOCK OF HIAWATHA PL S,G,G3,9400.2003,-122.30967,47.595154,(47.595154, -122.30967),BURG - RES (INCL UNOCC STRUCTURES ON PROP),BURGLARY,RESIDENTIAL BURGLARIES,02/22/2016 12:46:49 PM
622794,11000181366,2011181366,062,BICYCLE THEFT,THEFT,BIKE,06,06,2011,09:34:00,96XX BLOCK OF COLLEGE WAY N,N,N3,1900.4005,-122.335049795,47.698677358,(47.698677358, -122.335049795),,,,
1678728,16000063507,201663507,062,BICYCLE THEFT,THEFT,BIKE,02,22,2016,02:11:55,10XX BLOCK OF NE 125 ST,L,L1,200.5007,-122.31694,47.71944,(47.71944, -122.31694),TRU - THEFT,OTHER PROPERTY,THEFT,02/22/2016 01:31:13 PM
623041,11000185907,2011185907,062,BICYCLE THEFT,THEFT,BIKE,06,10,2011,04:14:00,6 AV / OLIVE WY,M,M2,7300.3033,-122.336284906,47.613127357,(47.613127357, -122.336284906),,,,
623051,11000185863,2011185863,062,BICYCLE THEFT,THEFT,BIKE,06,10,2011,04:36:00,14XX BLOCK OF E PINE ST,C,C2,7500.2008,-122.313504311,47.615284522,(47.615284522, -122.313504311),,,,
623188,11000180765,2011180765,062,BICYCLE THEFT,THEFT,BIKE,06,06,2011,04:00:00,47XX BLOCK OF UNIVERSITY VIEW PL NE,L,L3,4200.3008,-122.290974913,47.662531365,(47.662531365, -122.290974913),,,,
623556,11000166571,2011166571,062,BICYCLE THEFT,THEFT,BIKE,05,25,2011,02:30:00,22XX BLOCK OF NW MARKET ST,J,J2,4700.5009,-122.385556763,47.668679181,(47.668679181, -122.385556763),,,,
623856,11000182256,2011182256,062,BICYCLE THEFT,THEFT,BIKE,06,07,2011,06:54:00,E PINE ST / SUMMIT AV,E,E2,8400.1013,-122.325530089,47.61521846,(47.61521846, -122.325530089),,,,
623984,11000185377,2011185377,062,BICYCLE THEFT,THEFT,BIKE,06,10,2011,07:19:00,XX BLOCK OF S MAIN ST,K,K3,9200.2024,-122.308313317,47.599999894,(47.599999894, -122.308313317),,,,
624544,11000193467,2011193467,062,BICYCLE THEFT,THEFT,BIKE,06,16,2011,07:56:00,35XX BLOCK OF S FERDINAND ST,R,R2,10300.4008,-122.287477897,47.557854798,(47.557854798, -122.287477897),,,,
624821,11000191881,2011191881,062,BICYCLE THEFT,THEFT,BIKE,06,15,2011,06:16:00,2XX BLOCK OF N 100TH ST,N,N2,1700.7003,-122.356084911,47.701464377,(47.701464377, -122.356084911),,,,
625126,11000187664,2011187664,062,BICYCLE THEFT,THEFT,BIKE,06,12,2011,12:46:00,5XX BLOCK OF 1ST AVE W,Q,Q3,7100.2004,-122.358019952,47.623934451,(47.623934451, -122.358019952),,,,
625309,11000190916,2011190916,062,BICYCLE THEFT,THEFT,BIKE,06,14,2011,07:02:00,5XX BLOCK OF 5TH AVE S,K,K2,9300.2000,-122.327836298,47.594203678,(47.594203678, -122.327836298),,,,
625608,11000187274,2011187274,062,BICYCLE THEFT,THEFT,BIKE,06,11,2011,05:50:00,5XX BLOCK OF PIKE ST,K,K1,8200.1004,-122.335017881,47.610909012,(47.610909012, -122.335017881),,,,
626862,11000192896,2011192896,062,BICYCLE THEFT,THEFT,BIKE,06,16,2011,11:21:00,42XX BLOCK OF 9TH AVE NE,U,U2,5200.2001,-122.318791566,47.65848703,(47.65848703, -122.318791566),,,,
1678960,16000063970,201663970,062,BICYCLE THEFT,THEFT,BIKE,02,22,2016,08:28:00,3XX BLOCK OF 9 AV,G,G1,8500.3001,-122.32344,47.60413,(47.60413, -122.32344),THEFT (DOES NOT INCLUDE SHOPLIFT OR SVCS),OTHER PROPERTY,THEFT,02/22/2016 05:41:00 PM
627366,11000191352,2011191352,062,BICYCLE THEFT,THEFT,BIKE,06,15,2011,03:42:00,140XX BLOCK OF 30TH AVE NE,L,L1,100.4002,-122.296549284,47.731060826,(47.731060826, -122.296549284),,,,
627682,11000191960,2011191960,062,BICYCLE THEFT,THEFT,BIKE,06,15,2011,04:28:00,17XX BLOCK OF BELMONT AVE,E,E1,7400.4003,-122.324495885,47.617046946,(47.617046946, -122.324495885),,,,
627685,11000191808,2011191808,062,BICYCLE THEFT,THEFT,BIKE,06,15,2011,04:45:00,28XX BLOCK OF EASTLAKE AVE E,C,C1,6100.5004,-122.321288856,47.651910775,(47.651910775, -122.321288856),,,,
627719,11000194802,2011194802,062,BICYCLE THEFT,THEFT,BIKE,06,17,2011,08:26:00,52XX BLOCK OF 40TH AVE NE,L,L3,4200.2009,-122.285198326,47.734630685,(47.734630685, -122.285198326),,,,
628291,11000193975,2011193975,062,BICYCLE THEFT,THEFT,BIKE,06,17,2011,09:53:00,3XX BLOCK OF S JACKSON ST,K,K3,9300.2002,-122.329977175,47.599198312,(47.599198312, -122.329977175),,,,
628333,11000189521,2011189521,062,BICYCLE THEFT,THEFT,BIKE,06,13,2011,06:28:00,2 AV / BATTERY ST,M,M1,8001.2002,-122.346953932,47.614806644,(47.614806644, -122.346953932),,,,
629006,11000186274,2011186274,062,BICYCLE THEFT,THEFT,BIKE,06,11,2011,03:13:00,2 AV / BATTERY ST,M,M1,8001.2002,-122.346953932,47.614806644,(47.614806644, -122.346953932),,,,
629367,11000193396,2011193396,062,BICYCLE THEFT,THEFT,BIKE,06,16,2011,06:51:00,WESTERN AV / VIRGINIA ST,M,M3,8100.1003,-122.343640321,47.610318115,(47.610318115, -122.343640321),,,,
629527,11000191648,2011191648,062,BICYCLE THEFT,THEFT,BIKE,06,15,2011,01:27:00,132XX BLOCK OF AURORA AVE N,N,N1,600.1012,-122.344996836,47.725035552,(47.725035552, -122.344996836),,,,
629678,11000192140,2011192140,062,BICYCLE THEFT,THEFT,BIKE,06,15,2011,08:05:00,63XX BLOCK OF 30TH AVE SW,F,F1,10700.4002,-122.370618038,47.546407662,(47.546407662, -122.370618038),,,,
630101,11000195605,2011195605,062,BICYCLE THEFT,THEFT,BIKE,06,18,2011,12:20:00,25XX BLOCK OF 18TH AVE S,O,O1,10000.6004,-122.30978509,47.580637702,(47.580637702, -122.30978509),,,,
630351,11000196106,2011196106,062,BICYCLE THEFT,THEFT,BIKE,06,18,2011,10:29:00,N 125 ST / AURORA AV N,N,N1,402.2003,-122.344940802,47.719570093,(47.719570093, -122.344940802),,,,
630413,11000192048,2011192048,062,BICYCLE THEFT,THEFT,BIKE,06,15,2011,07:10:00,21XX BLOCK OF 4TH AVE,M,M2,7200.2025,-122.341983612,47.614215794,(47.614215794, -122.341983612),,,,
630653,11000194055,2011194055,062,BICYCLE THEFT,THEFT,BIKE,06,17,2011,08:43:00,1 AV S / S MAIN ST,K,K3,9200.2024,-122.33418814,47.600042733,(47.600042733, -122.33418814),,,,
630855,11000199580,2011199580,062,BICYCLE THEFT,THEFT,BIKE,06,22,2011,12:56:00,6XX BLOCK OF UNION ST,D,D3,8200.1015,-122.333001392,47.610381996,(47.610381996, -122.333001392),,,,
631144,11000199412,2011199412,062,BICYCLE THEFT,THEFT,BIKE,06,21,2011,08:29:00,9XX BLOCK OF 26TH AVE S,G,G2,8900.4010,-122.299051198,47.581282116,(47.581282116, -122.299051198),,,,
631461,11000197250,2011197250,062,BICYCLE THEFT,THEFT,BIKE,06,20,2011,02:00:00,3 AV / VIRGINIA ST,M,M2,8002.1001,-122.340894617,47.612397328,(47.612397328, -122.340894617),,,,
632042,11000203142,2011203142,062,BICYCLE THEFT,THEFT,BIKE,06,24,2011,05:27:00,5 AV NE / NE NORTHGATE WY,N,N3,1200.3002,-122.323276987,47.708593857,(47.708593857, -122.323276987),,,,
632193,11000203296,2011203296,062,BICYCLE THEFT,THEFT,BIKE,06,24,2011,07:11:00,N 85 ST / WALLINGFORD AV N,N,N3,2700.6003,-122.336443891,47.690499275,(47.690499275, -122.336443891),,,,
632262,11000201834,2011201834,062,BICYCLE THEFT,THEFT,BIKE,06,23,2011,07:02:00,DELRIDGE WY SW / SW FINDLAY ST,F,F1,10700.1001,-122.362988417,47.551917601,(47.551917601, -122.362988417),,,,
632332,11000201936,2011201936,062,BICYCLE THEFT,THEFT,BIKE,06,23,2011,08:03:00,MONTLAKE BV E / E LAKE WASHINGTON BV,C,C3,6200.1009,-122.304149989,47.644010746,(47.644010746, -122.304149989),,,,
632680,11000197500,2011197500,062,BICYCLE THEFT,THEFT,BIKE,06,20,2011,10:22:00,4XX BLOCK OF 2ND AVE S,K,K3,9300.2002,-122.331579254,47.598744219,(47.598744219, -122.331579254),,,,
632960,11000200527,2011200527,062,BICYCLE THEFT,THEFT,BIKE,06,22,2011,09:23:00,43XX BLOCK OF 7TH AVE NE,U,U2,5200.1000,-122.320834232,47.660035677,(47.660035677, -122.320834232),,,,
1679333,16000064810,201664810,062,BICYCLE THEFT,THEFT,BIKE,02,23,2016,11:57:08,79XX BLOCK OF DENSMORE AV N,J,J3,2700.3012,-122.3379,47.68628,(47.68628, -122.3379),TRU - THEFT,OTHER PROPERTY,THEFT,
633077,11000203023,2011203023,062,BICYCLE THEFT,THEFT,BIKE,06,24,2011,02:37:00,40XX BLOCK OF 27TH AVE W,Q,Q1,5801.3006,-122.391049657,47.657068317,(47.657068317, -122.391049657),,,,
633194,11000201128,2011201128,062,BICYCLE THEFT,THEFT,BIKE,06,23,2011,05:34:00,77XX BLOCK OF 10TH AVE SW,F,F3,11300.5008,-122.347137959,47.498237417,(47.498237417, -122.347137959),,,,
633605,11000208088,2011208088,062,BICYCLE THEFT,THEFT,BIKE,06,28,2011,07:11:00,3 AV / UNIVERSITY ST,K,K1,8100.2015,-122.335975882,47.607762578,(47.607762578, -122.335975882),,,,
636943,11000202194,2011202194,062,BICYCLE THEFT,THEFT,BIKE,06,23,2011,09:29:00,MONTLAKE BV E / E LAKE WASHINGTON BV,C,C3,6200.1009,-122.304149989,47.644010746,(47.644010746, -122.304149989),,,,
637383,11000204441,2011204441,062,BICYCLE THEFT,THEFT,BIKE,06,25,2011,07:25:00,12XX BLOCK OF E PINE ST,C,C2,7500.4004,-122.316201376,47.615268401,(47.615268401, -122.316201376),,,,
637609,11000201961,2011201961,062,BICYCLE THEFT,THEFT,BIKE,06,23,2011,08:32:00,1 AV / MADISON ST,M,M3,8100.1040,-122.336239995,47.604693519,(47.604693519, -122.336239995),,,,
637856,11000202595,2011202595,062,BICYCLE THEFT,THEFT,BIKE,06,24,2011,09:22:00,2XX BLOCK OF 3RD AVE S,K,K2,9200.2017,-122.330785387,47.544041418,(47.544041418, -122.330785387),,,,
638299,11000203484,2011203484,062,BICYCLE THEFT,THEFT,BIKE,06,24,2011,09:53:00,5XX BLOCK OF BOYLSTON AVE E,C,C1,7400.1003,-122.323048866,47.623704452,(47.623704452, -122.323048866),,,,
642032,15000041489,201541489,062,BICYCLE THEFT,THEFT,BIKE,02,05,2015,05:27:00,N 45 ST / BAGLEY AV N,B,B3,5100.1020,-122.332549627,47.66137839,(47.66137839, -122.332549627),TRU - THEFT,OTHER PROPERTY,THEFT,
642517,15000041999,201541999,062,BICYCLE THEFT,THEFT,BIKE,02,06,2015,09:02:00,3 AV NW / NW 110 ST,N,N1,1400.2007,-122.360818855,47.708741401,(47.708741401, -122.360818855),THEFT (DOES NOT INCLUDE SHOPLIFT OR SVCS),OTHER PROPERTY,THEFT,02/06/2015 05:09:00 AM
1899175,16000451971,2016451971,062,BICYCLE THEFT,THEFT,BIKE,12,17,2016,05:22:35,29XX BLOCK OF 2 AV,D,D1,8001.1002,-122.35219,47.617905,(47.617905, -122.35219),BURG - RES (INCL UNOCC STRUCTURES ON PROP),BURGLARY,RESIDENTIAL BURGLARIES,12/17/2016 04:21:14 AM
1680646,16000065997,201665997,062,BICYCLE THEFT,THEFT,BIKE,02,24,2016,09:20:12,89XX BLOCK OF 35 AV NE,U,U3,2200.2010,-122.290634,47.69346,(47.69346, -122.290634),THEFT (DOES NOT INCLUDE SHOPLIFT OR SVCS),OTHER PROPERTY,THEFT,
1681318,16000068007,201668007,062,BICYCLE THEFT,THEFT,BIKE,02,26,2016,03:03:58,11XX BLOCK OF 18 AV E,C,C2,6400.3005,-122.30861,47.62964,(47.62964, -122.30861),BURG - RES (INCL UNOCC STRUCTURES ON PROP),BURGLARY,RESIDENTIAL BURGLARIES,02/25/2016 08:34:19 PM
